location_id,location_name,delivery_address,city,active,notes
WOLA,Pita Bros Wola,ul. Wolska 165,01-258 Warszawa,TRUE,v0 pilot location — Wolska street
KEN,Pita Bros KEN,TBD,Warsaw,FALSE,Phase 2+ rollout candidate
BROWARY,Pita Bros Browary,TBD,Warsaw,FALSE,Phase 2+ rollout candidate
KAMIENICA,Pita Bros Kamienica,TBD,Warsaw,FALSE,Phase 2+ rollout candidate
KULINARNA,Pita Bros Kulinarna,TBD,Warsaw,FALSE,Phase 2+ rollout candidate
BRACKA,Pita Bros Bracka,ul. Bracka 20,00-028 Warszawa,TRUE,Rollout 2026-08-07 — Pita Bros Centrum sp. z o.o.
NORBLIN,Pita Bros Norblin,ul. Żelazna 51/53,00-841 Warszawa,TRUE,norblin-rollout 2026-08-18 - Fabryka Norblina
